Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, factorial, -1, 0.094604492187500000, 0.018127441406250000,  ,  , 17, 33.6, 1440
C, factorial, -1, 0.156616210937500000, 0.146057128906250000,  ,  , 2, 33.6, 1440
C, factorial, -1, 0.051147460937500000, 0.038452148437500000,  ,  , 2, 33.6, 1440
C, factorial, -1, 0.148376464843750000, 0.133789062500000000,  ,  , 2, 33.6, 1440
C, factorial, -1, 0.088378906250000000, 0.077758789062500000,  ,  , 2, 33.6, 1440
C, factorial, -1, 0.076232910156250000, 0.052612304687500000,  ,  , 2, 33.6, 1440
C, factorial, -1, 0.108093261718750000, 0.090209960937500000,  ,  , 2, 33.6, 1440
C, factorial, -1, 0.050659179687500000, 0.042907714843750000,  ,  , 2, 33.6, 1440
C, factorial, -1, 0.059020996093750000, 0.039428710937500000,  ,  , 3, 33.6, 1440
C, factorial, -1, 0.097106933593750000, 0.083618164062500000,  ,  , 2, 33.6, 1440
