Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Haskell, Fibonacci, -1, 833.692016601562500000, 692.582824707031250000,  ,  , 40936, 48.4, 6080
Haskell, Fibonacci, -1, 821.479858398437500000, 681.855957031250000000,  ,  , 40852, 48.9, 6400
Haskell, Fibonacci, -1, 832.826904296875000000, 691.054748535156250000,  ,  , 40775, 48.9, 6080
Haskell, Fibonacci, -1, 832.933410644531250000, 691.960510253906250000,  ,  , 41001, 49.5, 6080
Haskell, Fibonacci, -1, 826.564880371093750000, 685.253112792968750000,  ,  , 40878, 49.6, 6080
Haskell, Fibonacci, -1, 834.291931152343750000, 695.030456542968750000,  ,  , 40773, 49.6, 6080
Haskell, Fibonacci, -1, 835.599792480468750000, 695.301086425781250000,  ,  , 40826, 49.6, 6080
Haskell, Fibonacci, -1, 823.925903320312500000, 682.796752929687500000,  ,  , 41015, 50.2, 5920
Haskell, Fibonacci, -1, 833.097473144531250000, 691.343383789062500000,  ,  , 40811, 50.4, 6080
Haskell, Fibonacci, -1, 829.478820800781250000, 688.691528320312500000,  ,  , 41025, 50.5, 5920
