Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Haskell, Fibonacci, -1, 103.409057617187500000, 88.648376464843750000,  ,  , 4278, 51.2, 4160
Haskell, Fibonacci, -1, 107.048095703125000000, 91.998596191406250000,  ,  , 4212, 51.0, 4000
Haskell, Fibonacci, -1, 101.521911621093750000, 86.440490722656250000,  ,  , 4318, 51.2, 4160
Haskell, Fibonacci, -1, 115.876464843750000000, 97.541259765625000000,  ,  , 4344, 58.5, 4160
Haskell, Fibonacci, -1, 105.656677246093750000, 89.578979492187500000,  ,  , 4278, 50.7, 4160
Haskell, Fibonacci, -1, 105.117919921875000000, 89.047851562500000000,  ,  , 4338, 50.5, 3840
Haskell, Fibonacci, -1, 105.262451171875000000, 89.082458496093750000,  ,  , 4328, 50.4, 4160
Haskell, Fibonacci, -1, 106.685913085937500000, 90.425170898437500000,  ,  , 4318, 51.3, 4160
Haskell, Fibonacci, -1, 104.792968750000000000, 88.655273437500000000,  ,  , 4350, 50.7, 3840
Haskell, Fibonacci, -1, 107.820495605468750000, 91.619018554687500000,  ,  , 4257, 50.9, 3680
