Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Haskell, Fibonacci, -1, 106.574035644531250000, 91.008728027343750000,  ,  , 4440, 51.4, 3680
Haskell, Fibonacci, -1, 108.117553710937500000, 92.422119140625000000,  ,  , 4385, 51.4, 3200
Haskell, Fibonacci, -1, 106.195129394531250000, 90.733093261718750000,  ,  , 4431, 51.1, 3360
Haskell, Fibonacci, -1, 106.884216308593750000, 91.041503906250000000,  ,  , 4425, 51.1, 3680
Haskell, Fibonacci, -1, 105.801391601562500000, 90.262390136718750000,  ,  , 4434, 51.1, 3680
Haskell, Fibonacci, -1, 109.649414062500000000, 94.322570800781250000,  ,  , 4332, 51.4, 3360
Haskell, Fibonacci, -1, 106.253479003906250000, 90.536071777343750000,  ,  , 4433, 51.1, 3520
Haskell, Fibonacci, -1, 107.264526367187500000, 91.952636718750000000,  ,  , 4388, 51.4, 3360
Haskell, Fibonacci, -1, 110.437744140625000000, 95.066406250000000000,  ,  , 4327, 50.7, 3200
Haskell, Fibonacci, -1, 108.631774902343750000, 93.423217773437500000,  ,  , 4356, 51.1, 3200
