Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Haskell, Fibonacci, -1, 899.700622558593750000, 749.751281738281250000,  ,  , 43201, 51.3, 9280
Haskell, Fibonacci, -1, 915.635742187500000000, 766.004882812500000000,  ,  , 43104, 51.4, 8960
Haskell, Fibonacci, -1, 908.751403808593750000, 760.036987304687500000,  ,  , 43213, 51.3, 9440
Haskell, Fibonacci, -1, 899.594360351562500000, 752.646972656250000000,  ,  , 43065, 51.2, 9280
Haskell, Fibonacci, -1, 918.740600585937500000, 770.477294921875000000,  ,  , 43105, 51.6, 9120
Haskell, Fibonacci, -1, 894.630249023437500000, 746.220520019531250000,  ,  , 43214, 51.1, 9280
Haskell, Fibonacci, -1, 902.352233886718750000, 753.805664062500000000,  ,  , 43302, 51.6, 8960
Haskell, Fibonacci, -1, 915.359558105468750000, 765.909484863281250000,  ,  , 43253, 52.4, 9120
Haskell, Fibonacci, -1, 897.078002929687500000, 749.408203125000000000,  ,  , 43306, 51.7, 9280
Haskell, Fibonacci, -1, 918.234008789062500000, 771.109558105468750000,  ,  , 43042, 51.4, 9120
