Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Haskell, Fibonacci, -1, 100.092651367187500000, 84.687683105468750000,  ,  , 4153, 51.4, 3200
Haskell, Fibonacci, -1, 100.413696289062500000, 85.938903808593750000,  ,  , 3989, 58.1, 3200
Haskell, Fibonacci, -1, 108.752990722656250000, 92.128967285156250000,  ,  , 4047, 51.4, 3040
Haskell, Fibonacci, -1, 97.839233398437500000, 83.752868652343750000,  ,  , 3999, 50.8, 3200
Haskell, Fibonacci, -1, 97.078552246093750000, 82.571655273437500000,  ,  , 4093, 51.1, 3040
Haskell, Fibonacci, -1, 96.462768554687500000, 82.043945312500000000,  ,  , 4114, 50.7, 3040
Haskell, Fibonacci, -1, 97.824462890625000000, 83.206726074218750000,  ,  , 4087, 50.7, 3040
Haskell, Fibonacci, -1, 99.858459472656250000, 85.754516601562500000,  ,  , 3983, 50.8, 3040
Haskell, Fibonacci, -1, 98.667236328125000000, 84.205688476562500000,  ,  , 4054, 51.0, 3200
Haskell, Fibonacci, -1, 98.903076171875000000, 85.061645507812500000,  ,  , 3989, 50.9, 3040
