Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Haskell, Fibonacci, -1, 858.818359375000000000, 717.047485351562500000,  ,  , 40986, 50.9, 5760
Haskell, Fibonacci, -1, 834.335327148437500000, 691.426391601562500000,  ,  , 41244, 51.2, 5920
Haskell, Fibonacci, -1, 856.162719726562500000, 713.871948242187500000,  ,  , 41118, 51.0, 5760
Haskell, Fibonacci, -1, 855.802307128906250000, 714.361450195312500000,  ,  , 41216, 50.7, 5920
Haskell, Fibonacci, -1, 857.136169433593750000, 715.225708007812500000,  ,  , 41108, 51.1, 5920
Haskell, Fibonacci, -1, 867.259582519531250000, 726.522521972656250000,  ,  , 40780, 51.0, 5920
Haskell, Fibonacci, -1, 847.070068359375000000, 705.045776367187500000,  ,  , 41225, 50.9, 5920
Haskell, Fibonacci, -1, 861.706359863281250000, 719.637207031250000000,  ,  , 41116, 51.0, 5920
Haskell, Fibonacci, -1, 864.773071289062500000, 722.442321777343750000,  ,  , 40899, 50.9, 5920
Haskell, Fibonacci, -1, 833.308044433593750000, 690.214294433593750000,  ,  , 41261, 50.8, 5920
